WKT,id,NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE
"POINT (130.865391290824 -12.4223138804454)","243995",NT_17863,"17863",RAAF Darwin,BARRACKS,DEFENCE,SOCIETY,-12.4223,130.8654,NT,2024/03/01 01:51:42
"POINT (132.392991390975 -14.503613849253)","243996",NT_18986,"18986",RAAF Tindal,BARRACKS,DEFENCE,SOCIETY,-14.5036,132.393,NT,2024/03/01 01:51:42
"POINT (130.821891289056 -12.4609138804406)","243997",NT_12223,"12223",Darwin Naval Base,BARRACKS,DEFENCE,SOCIETY,-12.4609,130.8219,NT,2024/03/01 01:51:42
"POINT (130.822391289055 -12.4573138804645)","243998",NT_14355,"14355",Larrakeyah Barracks,BARRACKS,DEFENCE,SOCIETY,-12.4573,130.8224,NT,2024/03/01 01:51:42
"POINT (134.212491612577 -19.6516137780873)","243999",NT_11665,"11665",Central Government Battery,BATTERY,PROCESSING,MINING,-19.6516,134.2125,NT,2024/03/01 01:51:42
"POINT (134.166691610105 -19.7000137787201)","244000",NT_12779,"12779",Fasal Deens Battery,BATTERY,PROCESSING,MINING,-19.7,134.1667,NT,2024/03/01 01:51:42
"POINT (134.063091595542 -19.4328137829448)","244001",NT_13244,"13244",Government Battery,BATTERY,PROCESSING,MINING,-19.4328,134.0631,NT,2024/03/01 01:51:42
"POINT (131.715291342123 -13.5065138649577)","244002",NT_15872,"15872",Mount Wells Battery,BATTERY,PROCESSING,MINING,-13.5065,131.7153,NT,2024/03/01 01:51:42
"POINT (131.954391329151 -11.3660138787162)","244003",NT_18323,"18323",Shamrock Bay,BAY,WATERBODY,HYDROLOGY,-11.366,131.9544,NT,2024/03/01 01:51:42
"POINT (130.606191272705 -11.3563138900593)","244004",NT_18330,"18330",Shark Bay,BAY,WATERBODY,HYDROLOGY,-11.3563,130.6062,NT,2024/03/01 01:51:42
"POINT (131.902191326601 -11.3333138795506)","244005",NT_18331,"18331",Shark Bay,BAY,WATERBODY,HYDROLOGY,-11.3333,131.9022,NT,2024/03/01 01:51:42
"POINT (130.941091293381 -12.2881138809417)","244006",NT_18353,"18353",Shoal Bay,BAY,WATERBODY,HYDROLOGY,-12.2881,130.9411,NT,2024/03/01 01:51:42
"POINT (130.652691277165 -11.7881138865425)","244007",NT_18354,"18354",Shoal Bay,BAY,WATERBODY,HYDROLOGY,-11.7881,130.6527,NT,2024/03/01 01:51:42
"POINT (131.983291330952 -11.4167138779982)","244008",NT_18373,"18373",Silvid Bay,BAY,WATERBODY,HYDROLOGY,-11.4167,131.9833,NT,2024/03/01 01:51:42
"POINT (135.861591504222 -11.8214137979037)","244009",NT_17972,"17972",Refuge Bay,BAY,WATERBODY,HYDROLOGY,-11.8214,135.8616,NT,2024/03/01 01:51:42
"POINT (136.907291564493 -12.2742137623416)","244010",NT_18064,"18064",Rocky Bay,BAY,WATERBODY,HYDROLOGY,-12.2742,136.9073,NT,2024/03/01 01:51:42
"POINT (134.099991429317 -11.8833138404465)","244011",NT_18104,"18104",Rolling Bay,BAY,WATERBODY,HYDROLOGY,-11.8833,134.1,NT,2024/03/01 01:51:42
"POINT (136.550491571261 -12.9775137680718)","244012",NT_18193,"18193",Saint Davids Bay,BAY,WATERBODY,HYDROLOGY,-12.9775,136.5505,NT,2024/03/01 01:51:42
"POINT (136.336291564411 -13.0870137737958)","244013",NT_16057,"16057",Myaoola Bay,BAY,WATERBODY,HYDROLOGY,-13.087,136.3363,NT,2024/03/01 01:51:42
"POINT (135.433291493329 -12.1000138073664)","244014",NT_16219,"16219",Ngurubudanamirri Bay,BAY,WATERBODY,HYDROLOGY,-12.1,135.4333,NT,2024/03/01 01:51:42
"POINT (133.383291390742 -11.4833138572495)","244015",NT_15975,"15975",Mullet Bay,BAY,WATERBODY,HYDROLOGY,-11.4833,133.3833,NT,2024/03/01 01:51:42
"POINT (131.854991323188 -11.2030138810688)","244016",NT_21397,"21397",Blue Mud Bay,BAY,WATERBODY,HYDROLOGY,-11.203,131.855,NT,2024/03/01 01:51:42
"POINT (136.704491555588 -12.2804137688492)","244017",NT_22221,"22221",Walkpuy Bay,BAY,WATERBODY,HYDROLOGY,-12.2804,136.7045,NT,2024/03/01 01:51:42
"POINT (131.312291301371 -11.2567138859007)","244018",NT_20027,"20027",Yunanti Bay,BAY,WATERBODY,HYDROLOGY,-11.2567,131.3123,NT,2024/03/01 01:51:42
"POINT (136.842391676291 -15.6252137374555)","244019",NT_20581,"20581",Mud Bay,BAY,WATERBODY,HYDROLOGY,-15.6252,136.8424,NT,2024/03/01 01:51:42
"POINT (136.16099157844 -13.8155137732134)","244020",NT_20442,"20442",Yirrijirra Bay,BAY,WATERBODY,HYDROLOGY,-13.8155,136.161,NT,2024/03/01 01:51:42
"POINT (136.940691632356 -14.2038137456169)","244021",NT_20469,"20469",Mamawurumanja Bay,BAY,WATERBODY,HYDROLOGY,-14.2038,136.9407,NT,2024/03/01 01:51:42
"POINT (136.947691633503 -14.2260137452063)","244022",NT_20470,"20470",Alirrma Bay,BAY,WATERBODY,HYDROLOGY,-14.226,136.9477,NT,2024/03/01 01:51:42
"POINT (136.606291574703 -13.0006137661319)","244023",NT_19806,"19806",Wonga Bay,BAY,WATERBODY,HYDROLOGY,-13.0006,136.6063,NT,2024/03/01 01:51:42
"POINT (132.233291342079 -11.4667138746234)","244024",NT_19876,"19876",Wurgurlu Bay,BAY,WATERBODY,HYDROLOGY,-11.4667,132.2333,NT,2024/03/01 01:51:42
"POINT (131.833291323 -11.2667138808135)","244025",NT_17728,"17728",Popham Bay,BAY,WATERBODY,HYDROLOGY,-11.2667,131.8333,NT,2024/03/01 01:51:42
"POINT (136.765491608468 -13.7758137547939)","244026",NT_17738,"17738",Port Langdon,BAY,WATERBODY,HYDROLOGY,-13.7758,136.7655,NT,2024/03/01 01:51:42
"POINT (132.483291347735 -11.116713874074)","244027",NT_17460,"17460",Palm Bay,BAY,WATERBODY,HYDROLOGY,-11.1167,132.4833,NT,2024/03/01 01:51:42
"POINT (136.854991673779 -15.5317137377886)","244028",NT_17491,"17491",Paradice Bay,BAY,WATERBODY,HYDROLOGY,-15.5317,136.855,NT,2024/03/01 01:51:42
"POINT (136.156091575617 -13.7328137740211)","244029",NT_17147,"17147",North Bay,BAY,WATERBODY,HYDROLOGY,-13.7328,136.1561,NT,2024/03/01 01:51:42
"POINT (131.461291308421 -11.3518138838612)","244030",NT_17796,"17796",Pulloloo Bay,BAY,WATERBODY,HYDROLOGY,-11.3518,131.4613,NT,2024/03/01 01:51:42
"POINT (136.571291597739 -13.7547137611545)","244031",NT_17182,"17182",North West Bay,BAY,WATERBODY,HYDROLOGY,-13.7547,136.5713,NT,2024/03/01 01:51:42
"POINT (132.394991345918 -11.2472138742432)","244032",NT_17877,"17877",Raffles Bay,BAY,WATERBODY,HYDROLOGY,-11.2472,132.395,NT,2024/03/01 01:51:42
"POINT (135.992091526486 -12.3806137896766)","244033",NT_17887,"17887",Ramungir Bay,BAY,WATERBODY,HYDROLOGY,-12.3806,135.9921,NT,2024/03/01 01:51:42
"POINT (136.263491582995 -13.7911137703422)","244034",NT_17209,"17209",Nulukwa Bay,BAY,WATERBODY,HYDROLOGY,-13.7911,136.2635,NT,2024/03/01 01:51:42
"POINT (131.385391304586 -11.2781138851053)","244035",NT_17832,"17832",Quanipiri Bay,BAY,WATERBODY,HYDROLOGY,-11.2781,131.3854,NT,2024/03/01 01:51:42
"POINT (132.049991334752 -11.500013876586)","244036",NT_19167,"19167",Two Hills Bay,BAY,WATERBODY,HYDROLOGY,-11.5,132.05,NT,2024/03/01 01:51:42
"POINT (136.721591516548 -11.0689137781647)","244037",NT_19168,"19168",Two Island Bay,BAY,WATERBODY,HYDROLOGY,-11.0689,136.7216,NT,2024/03/01 01:51:42
"POINT (132.166691338435 -11.4000138759608)","244038",NT_19580,"19580",West Bay,BAY,WATERBODY,HYDROLOGY,-11.4,132.1667,NT,2024/03/01 01:51:42
"POINT (136.729291607544 -13.8039137557338)","244039",NT_18938,"18938",Thompson Bay,BAY,WATERBODY,HYDROLOGY,-13.8039,136.7293,NT,2024/03/01 01:51:42
"POINT (137.032291694314 -15.8103137296724)","244040",NT_18640,"18640",Stokes Bay,BAY,WATERBODY,HYDROLOGY,-15.8103,137.0323,NT,2024/03/01 01:51:42
"POINT (135.982391521015 -12.2117137913159)","244041",NT_19237,"19237",Ulundurwi Bay,BAY,WATERBODY,HYDROLOGY,-12.2117,135.9824,NT,2024/03/01 01:51:42
"POINT (131.477691309435 -11.3866138834447)","244042",NT_18990,"18990",Tinganoo Bay,BAY,WATERBODY,HYDROLOGY,-11.3866,131.4777,NT,2024/03/01 01:51:42
"POINT (136.975491687781 -15.7238137322657)","244043",NT_19324,"19324",Victoria Bay,BAY,WATERBODY,HYDROLOGY,-15.7238,136.9755,NT,2024/03/01 01:51:42
"POINT (136.791391675596 -15.6934137385783)","244044",NT_18738,"18738",Survey Bay,BAY,WATERBODY,HYDROLOGY,-15.6934,136.7914,NT,2024/03/01 01:51:42
"POINT (130.678391276025 -11.4066138892756)","244045",NT_18440,"18440",Snake Bay,BAY,WATERBODY,HYDROLOGY,-11.4066,130.6784,NT,2024/03/01 01:51:42
"POINT (130.590191278087 -12.4389138819923)","244046",NT_18808,"18808",Tapa Bay,BAY,WATERBODY,HYDROLOGY,-12.4389,130.5902,NT,2024/03/01 01:51:42
"POINT (136.707391517391 -11.1120137782651)","244047",NT_19091,"19091",Trafalgar Bay,BAY,WATERBODY,HYDROLOGY,-11.112,136.7074,NT,2024/03/01 01:51:42
"POINT (132.549991349257 -11.0333138738078)","244048",NT_18476,"18476",Somerville Bay,BAY,WATERBODY,HYDROLOGY,-11.0333,132.55,NT,2024/03/01 01:51:42
"POINT (136.176291578817 -13.8021137728658)","244049",NT_18483,"18483",South Bay,BAY,WATERBODY,HYDROLOGY,-13.8021,136.1763,NT,2024/03/01 01:51:42
"POINT (129.393191222923 -14.4680138705366)","244050",NT_19099,"19099",Treachery Bay,BAY,WATERBODY,HYDROLOGY,-14.468,129.3932,NT,2024/03/01 01:51:42
"POINT (131.949991327243 -11.2167138799144)","244051",NT_19105,"19105",Trepang Bay,BAY,WATERBODY,HYDROLOGY,-11.2167,131.95,NT,2024/03/01 01:51:42
"POINT (133.416691397292 -11.7667138544438)","244052",NT_19440,"19440",Waminari Bay,BAY,WATERBODY,HYDROLOGY,-11.7667,133.4167,NT,2024/03/01 01:51:42
"POINT (136.697291552382 -12.192913769789)","244053",NT_19443,"19443",Wanaka Bay,BAY,WATERBODY,HYDROLOGY,-12.1929,136.6973,NT,2024/03/01 01:51:42
"POINT (132.349991346773 -11.4500138732638)","244054",NT_19455,"19455",Wangarlu Bay,BAY,WATERBODY,HYDROLOGY,-11.45,132.35,NT,2024/03/01 01:51:42
"POINT (132.149891337474 -11.3793138763249)","244055",NT_19456,"19456",Wangewanja Cove,BAY,WATERBODY,HYDROLOGY,-11.3793,132.1499,NT,2024/03/01 01:51:42
"POINT (133.462291399667 -11.7885138534633)","244056",NT_19461,"19461",Wangularni Bay,BAY,WATERBODY,HYDROLOGY,-11.7885,133.4623,NT,2024/03/01 01:51:42
"POINT (133.354691392463 -11.6469138564674)","244057",NT_18501,"18501",South West Bay,BAY,WATERBODY,HYDROLOGY,-11.6469,133.3547,NT,2024/03/01 01:51:42
"POINT (136.634591517498 -11.2050137798114)","244058",NT_18858,"18858",Temple Bay,BAY,WATERBODY,HYDROLOGY,-11.205,136.6346,NT,2024/03/01 01:51:42
"POINT (136.547991572605 -13.0225137677867)","244059",NT_19113,"19113",Trial Bay,BAY,WATERBODY,HYDROLOGY,-13.0225,136.548,NT,2024/03/01 01:51:42
"POINT (136.821191678831 -15.7346137372772)","244060",NT_19122,"19122",Tucker Bay,BAY,WATERBODY,HYDROLOGY,-15.7346,136.8212,NT,2024/03/01 01:51:42
"POINT (136.497491574959 -13.1707137681662)","244061",NT_19474,"19474",Wardarlea Bay,BAY,WATERBODY,HYDROLOGY,-13.1707,136.4975,NT,2024/03/01 01:51:42
"POINT (130.573991278285 -12.6089138808041)","244062",NT_19141,"19141",Turnbull Bay,BAY,WATERBODY,HYDROLOGY,-12.6089,130.574,NT,2024/03/01 01:51:42
"POINT (130.399791263845 -11.3101138914362)","244063",NT_18580,"18580",St Asaph Bay,BAY,WATERBODY,HYDROLOGY,-11.3101,130.3998,NT,2024/03/01 01:51:42
"POINT (131.783291321114 -11.283313881218)","244064",NT_10200,"10200",Alcaro Bay,BAY,WATERBODY,HYDROLOGY,-11.2833,131.7833,NT,2024/03/01 01:51:42
"POINT (131.482791310942 -11.5227138823579)","244065",NT_16100,"16100",Napier Bay,BAY,WATERBODY,HYDROLOGY,-11.5227,131.4828,NT,2024/03/01 01:51:42
"POINT (132.116691335521 -11.3333138770799)","244066",NT_14200,"14200",Knocker Bay,BAY,WATERBODY,HYDROLOGY,-11.3333,132.1167,NT,2024/03/01 01:51:42
"POINT (136.41459159291 -13.8558137652197)","244067",NT_15100,"15100",Milner Bay,BAY,WATERBODY,HYDROLOGY,-13.8558,136.4146,NT,2024/03/01 01:51:42
"POINT (131.53439132218 -12.4430138748548)","244068",NT_18100,"18100",Rogers Bay,BAY,WATERBODY,HYDROLOGY,-12.443,131.5344,NT,2024/03/01 01:51:42
"POINT (136.043891560613 -13.4306137797423)","244069",NT_10986,"10986",Blue Mud Bay,BAY,WATERBODY,HYDROLOGY,-13.4306,136.0439,NT,2024/03/01 01:51:42
"POINT (136.488191595225 -13.8092137633159)","244070",NT_10665,"10665",Bartalumba Bay,BAY,WATERBODY,HYDROLOGY,-13.8092,136.4882,NT,2024/03/01 01:51:42
"POINT (136.992691685216 -15.6226137324998)","244071",NT_10670,"10670",Base Bay,BAY,WATERBODY,HYDROLOGY,-15.6226,136.9927,NT,2024/03/01 01:51:42
"POINT (130.110391258798 -13.3162138775895)","244072",NT_10374,"10374",Anson Bay,BAY,WATERBODY,HYDROLOGY,-13.3162,130.1104,NT,2024/03/01 01:51:42
"POINT (133.358191394271 -11.7395138556822)","244073",NT_10382,"10382",Anuru Bay,BAY,WATERBODY,HYDROLOGY,-11.7395,133.3582,NT,2024/03/01 01:51:42
"POINT (136.273191582218 -13.7506137703743)","244074",NT_10407,"10407",Arawura Bay,BAY,WATERBODY,HYDROLOGY,-13.7506,136.2732,NT,2024/03/01 01:51:42
"POINT (130.097591252962 -11.8255138887477)","244075",NT_11139,"11139",Bowen Bay,BAY,WATERBODY,HYDROLOGY,-11.8255,130.0976,NT,2024/03/01 01:51:42
"POINT (136.180491533462 -12.328313784588)","244076",NT_10442,"10442",Arnhem Bay,BAY,WATERBODY,HYDROLOGY,-12.3283,136.1805,NT,2024/03/01 01:51:42
"POINT (135.934191563521 -13.7114137806702)","244077",NT_10784,"10784",Bennet Bay,BAY,WATERBODY,HYDROLOGY,-13.7114,135.9342,NT,2024/03/01 01:51:42
"POINT (132.183291336821 -11.216713877172)","244078",NT_10792,"10792",Berkeley Bay,BAY,WATERBODY,HYDROLOGY,-11.2167,132.1833,NT,2024/03/01 01:51:42
"POINT (131.438991307058 -11.30521388442)","244079",NT_11079,"11079",Boradi Bay,BAY,WATERBODY,HYDROLOGY,-11.3052,131.439,NT,2024/03/01 01:51:42
"POINT (131.247091306354 -12.1604138795704)","244080",NT_10726,"10726",Beatrice Bay,BAY,WATERBODY,HYDROLOGY,-12.1604,131.2471,NT,2024/03/01 01:51:42
"POINT (134.497991450126 -12.0320138307159)","244081",NT_11114,"11114",Boucaut Bay,BAY,WATERBODY,HYDROLOGY,-12.032,134.498,NT,2024/03/01 01:51:42
