,State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,Gender,Aboriginal Origins,IsIndigenous,Traditional Owner Group,Traditional Owner Description,Gazette Published date,Gazette Reference,Gazette URL,Historical Information,Origin Language,Australian Indigenous Language,Anzac Related Name,Date First Recorded Day,Date First Recorded Month,Date First Recorded Year,Source,Author,Title,Date Published Day,Date Published Month,Date Published Year,Publisher,Place of Publication,Pages(s),Editor,Chapter Title,Journal Name,Issue,Year,Newspaper,File Number,Site Owner,Page Title,Site Title,Url,Location,Type of Artefact,Cartographer,Scale,Informant,Tape Title,Tape Number,Municipal Name,Endorsed by Council,Council Minutes,Organisation Name,Endorsed by GPNAP,WKT
13,VIC,GREATER BENDIGO CITY,3,3BO RADIO MAST,REGISTERED,RACF,RADIO COMMUNICATION FACILITY,144.221534,-36.7056812,9122,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.221534 -36.7056812)
14,VIC,EAST GIPPSLAND SHIRE,4,3MT RADIO TRANSMITTER,REGISTERED,RACF,RADIO COMMUNICATION FACILITY,147.6476445,-37.15624,9123,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (147.6476445 -37.15624)
15,VIC,NORTHERN GRAMPIANS SHIRE,5,3RD DIAL,REGISTERED,PEAK,PEAK,142.5829231,-37.23874,3,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.5829231 -37.23874)
16,VIC,WARRNAMBOOL CITY,6,3YB RADIO STATION,REGISTERED,RDST,RADIO STATION,142.5090341,-38.3376256,4,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.5090341 -38.3376256)
17,VIC,NORTHERN GRAMPIANS SHIRE,7,4TH DIAL,REGISTERED,PEAK,PEAK,142.5854231,-37.2431811,5,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.5854231 -37.2431811)
18,VIC,HOBSONS BAY CITY,115680,5 STAR CHILDCARE & EARLY LEARNING CENTRE,RECORDED,EAED,EARLY EDUCATION,144.825375,-37.831764,115435,,,FALSE,,,,Sourced from Vicmap Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.825375 -37.831764)
19,VIC,NORTHERN GRAMPIANS SHIRE,8,5TH DIAL,REGISTERED,PEAK,PEAK,142.584312,-37.2476256,6,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.584312 -37.2476256)
20,VIC,NORTHERN GRAMPIANS SHIRE,9,6TH DIAL,REGISTERED,PEAK,PEAK,142.584312,-37.2492923,7,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.584312 -37.2492923)
21,VIC,NORTHERN GRAMPIANS SHIRE,10,7TH DIAL,REGISTERED,PEAK,PEAK,142.5798675,-37.25124,8,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.5798675 -37.25124)
22,VIC,GANNAWARRA SHIRE,11,82 BEND,REGISTERED,BEND,BEND,144.3782006,-35.8123479,9124,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.3782006 -35.8123479)
23,VIC,SWAN HILL RURAL CITY,12,90 ACRE SAND BAR,REGISTERED,BAR,BAR,143.3870898,-35.1592923,9,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (143.3870898 -35.1592923)
24,VIC,HOBSONS BAY CITY,13,A B SHAW RESERVE,REGISTERED,PARK,PARK,144.7834185,-37.8638022,25544,Man,,FALSE,,,,,,'Elected to Council 1973.  Mayor - City of Altona 1978 - 79 and 1986 - 87.',,,,,,,Manuscript,Place Names Committee Files,Submission,26,5,1988,,,1,,,,,,,PNC file number 1098,,,,,,,,,,,,,,,,,POINT (144.7834185 -37.8638022)
25,VIC,MORNINGTON PENINSULA SHIRE,121713,A C CAMPBELL RESERVE,REGISTERED,PARK,PARK,145.0310965,-38.239845,121108,,,FALSE,,,,Sourced from Vicmap Oct 2014,,"Archibald Colin Campbell was a Mornington Shire Councillor in the South Riding from 1948-51, and again from 1966-71. He represented Mt Martha Riding from 1955-1966.  He was Mornington Shire President in 1957, and again in 1965.  He opened the Beleura Hill Pre-school Centre, Mornington as Shire President in 1966.",,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Mornington Peninsular Shire Council,,,,,POINT (145.0310965 -38.239845)
26,VIC,CASEY CITY,14,A E BROWN RESERVE,REGISTERED,PARK,PARK,145.3550971,-38.027319,11650,Man,,FALSE,,,,,,"Place names Submission from 1977 reads: 'Mr. Brown has had 54 years association with the Berwick Football Club, of which he is a life member; he also has a Life Membership with the Victorian Country Football League, the Berwick Cricket Club and the Agricultural Society.  He has served as a delegate, committee man and Vice President of the Dandenong & District Football League and in similar capacities with the South-West Gippsland Football League.  He has been gatekeeper with the league for the past 23 years.'",,,,,,,Manuscript,Place Names Committee Files,Submission,28,11,1977,,,1,,,,,,,PNC file number 739,,,,,,,,,,,,,,,,,POINT (145.3550971 -38.027319)
27,VIC,MARIBYRNONG CITY,15,A E SHEPHERD GARDENS,REGISTERED,PARK,PARK,144.8684782,-37.7895701,25626,Man,,FALSE,,,,,,"'Mr. E. Shepard was a State Member for Sunshine when the Sunshine Seat was first named.  He was a member for Footscray which included Sunshine at that time, when then he was the Minister fro Education, Deputy Leader of the Opposition.  Most diligent worker for his electorate.  Lived on the border of Sunshine and West Footscray where these gardens are situated.'",,,,,,,Manuscript,Place Names Committee Files,Submission,11,8,1981,,,1,,,,,,,PNC file number 837,,,,,,,,,,,,,,,,,POINT (144.8684782 -37.7895701)
28,VIC,MAROONDAH CITY,124514,A F B Long Reserve,REGISTERED,PARK,PARK,145.2464892,-37.8165091,123803,,,FALSE,,,,Sourced from Vicmap Oct 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.2464892 -37.8165091)
29,VIC,CENTRAL GOLDFIELDS SHIRE,118295,A G LEECH KINDERGARTEN,RECORDED,EAED,EARLY EDUCATION,143.7318842,-37.0517787,118050,,,FALSE,,,,Sourced from Vicmap Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (143.7318842 -37.0517787)
30,VIC,BAW BAW SHIRE,16,A G ROBERTSON PRIMARY SCHOOL,HISTORICAL,PRSC,PRIMARY SCHOOL,146.3989758,-37.9591037,9125,Man,,FALSE,,,,,,"The historical name was given in honour of Mr A. G. Robertson, former chief engineer at the Melbourne and Metropolitan Board of Works.  He was largely responsible for the planning, development and management of the sites of the local township and the Thomson Dam construction.",,,,,,,Manuscript,Place Names Committee,Correspondence Files,,,1979,,,3-Jan,,,,,,,PNC File 742 microfiche,,,,,,,,,,,,,,,,,POINT (146.3989758 -37.9591037)
31,VIC,BAW BAW SHIRE,16,A G ROBERTSON PRIMARY SCHOOL,HISTORICAL,PRSC,PRIMARY SCHOOL,146.3989758,-37.9591037,9125,Man,,FALSE,,,,,,'Rawson Primary School' was adopted following the merger of Erica and A G Roberston Primary Schools.,,,,,,,Manuscript,Ministry of Education,Place Names Committee File,,6,1994,,,9-Jan,,,,,,,File 1460 Microfiche,,,,,,,,,,,,,,,,,POINT (146.3989758 -37.9591037)
32,VIC,CORANGAMITE SHIRE,51252,A H BARRETT RESERVE,REGISTERED,PARK,PARK,143.0789118,-38.326012,51252,Man,,FALSE,,,,,,"'The late Doctor Barrett who conducted a practise in this municipality for over forty (40) years, was known and loved by the residents of our district as a man of kindness and one who carried out his professional duties in a manner far beyond those normally expected.  During his lifetime, he received the O.B.E. and was granted the Shires first and only citizenship award.'",,,,,,,Manuscript,Place Names Committee Files,Submission,18,6,1968,,,1,,,,,,,PNC file number 72,,,,,,,,,,,,,,,,,POINT (143.0789118 -38.326012)
33,VIC,HOBSONS BAY CITY,121091,A H FORD RESERVE,REGISTERED,PARK,PARK,144.8134942,-37.8608603,120568,,,FALSE,,,,Sourced from Vicmap Oct 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.8134942 -37.8608603)
34,VIC,MOONEE VALLEY CITY,17,A J DAVIS RESERVE,REGISTERED,PARK,PARK,144.8734782,-37.728459,14009,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.8734782 -37.728459)
35,VIC,EAST GIPPSLAND SHIRE,120765,A J FREEMAN RESERVE,REGISTERED,PARK,PARK,147.7162906,-37.9134244,120242,,,FALSE,,,,Sourced from Vicmap Oct 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (147.7162906 -37.9134244)
36,VIC,EAST GIPPSLAND SHIRE,130197,A J Gilsenan Reserve,REGISTERED,PARK,PARK,147.7233626,-37.9179788,120263,Man,,FALSE,,,2024-08-15,"G33, P1606",https://www.gazette.vic.gov.au/gazette/Gazettes2024/GG2024G033.pdf#page=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (147.7233626 -37.9179788)
37,VIC,LODDON SHIRE,18,A J MITCHELL PARK,REGISTERED,PARK,PARK,143.8734785,-36.5729035,5248,Man,,FALSE,,,,,,"Named after Mr Alf Mitchell, a well respected gentleman of the township of Inglewood, who beautified the area at his own cost.  The name was proposed by the Council of the Shire of Korong in November 1991.",,,,,,,Manuscript,Shire of Korong,Place Names Committee File,,11,1991,,,Jan-99,,,,,,,File 1337 Microfiche,,,,,,,,,,,,,,,,,POINT (143.8734785 -36.5729035)
38,VIC,BANYULE CITY,19,A K LINES RESERVE,REGISTERED,PARK,PARK,145.0876108,-37.7043009,19561,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.0876108 -37.7043009)
39,VIC,EAST GIPPSLAND SHIRE,120776,A M PEARSON HISTORICAL PARK,REGISTERED,PARK,PARK,147.5924101,-37.1011296,120253,Man,,FALSE,,,,Sourced from Vicmap Oct 2014,,"'This name has been chosen to commemorate the memory of an old local identity, who not only served the Omeo Shire Council for a record term in office from 1929 to 1960, but also the local community throughout much of his life.  The late Mr. A. M. (Mervyn) Pearson was seventy years of age when commissioned by the Shire of Omeo to write a history of the Shire, which he did with great distinction and which is entitled 'Echoes from the Mountains'.  He spent one third of his life as an Omeo Shire Councillor and on six occasions was Shire President.'",,,,,,,Manuscript,Place Names Committee Files,Submission,6,12,1979,,,1,,,,,,,PNC file number 788,,,,,,,,,,,,,,,,,POINT (147.5924101 -37.1011296)
40,VIC,EAST GIPPSLAND SHIRE,20,A M PEARSON PARK,REGISTERED,PARK,PARK,147.5932,-37.1006814,23318,Man,,FALSE,,,,,,"'This name has been chosen to commemorate the memory of an old local identity, who not only served the Omeo Shire Council for a record term in office from 1929 to 1960, but also the local community throughout much of his life.  The late Mr. A. M. (Mervyn) Pearson was seventy years of age when commissioned by the Shire of Omeo to write a history of the Shire, which he did with great distinction and which is entitled 'Echoes from the Mountains'.  He spent one third of his life as an Omeo Shire Councillor and on six occasions was Shire President.'",,,,,,,Manuscript,Place Names Committee Files,Submission,6,12,1979,,,1,,,,,,,PNC file number 788,,,,,,,,,,,,,,,,,POINT (147.5932 -37.1006814)
41,VIC,LATROBE CITY,21,A P M AERATION POND,REGISTERED,SETP,SEWAGE TREATMENT PLANT,146.4807,-38.1765147,9126,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (146.4807 -38.1765147)
42,VIC,MORNINGTON PENINSULA SHIRE,121501,A R AND F DITTERICH RESERVE,REGISTERED,PARK,PARK,144.9694038,-38.400102,120897,,,FALSE,,,,Sourced from Vicmap Oct 2014,,"Arthur Ralph Ditterich was a Shire of Flinders Councillor from 1961-1964.
A.R. & F. Ditterich are Life Members of the Main Ridge Cricket Club - Ralph and Frank Ditterich were keen cricketers and involved in community affairs. They were involved in the planning and building of the bowls club and other works associated with the grounds. Both had orchards and lived in Valley View Lane, Main Ridge.  Prior to 1926 Main Ridge was known as Main Creek and the name change was brought about by Frank Ditterich.  Seven acres (2.8 hectares) was bought from C. Rigby in 1932 for a recreation ground at Main Ridge for the sum of 50 pounds ($100). A 10 pound ($20) deposit was raised by the community funded in part by a 'sheep guessing competition'. The balance payable over 5 years was raised by community fundraising efforts.
In 1957 the gates were given as a gift by Mrs Lillian Adams of Main Ridge.
On 28th April 1959 the Shire President was invited to unveil a plaque in memory of Frank Ditterich.  Frank was born in Long Gully, Bendigo on 17th September 1895 and died on 28th December 1956 at Mentone. He married his wife Jessie in 1930. They had two sons Richard and David.
Ralph was born in St Arnaud on 4th July, 1893 and married his wife Margaret in Palmerston, New Zealand in 1926. Their son Allan was born in 1929 and died in 1947. Ralph died in Redcliffe, Queensland in 1974.",,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Mornington Peninsular Shire Council,,,,,POINT (144.9694038 -38.400102)
43,VIC,MARIBYRNONG CITY,51347,A R MCNABB RESERVE,REGISTERED,PARK,PARK,144.8867939,-37.7975186,51347,,,FALSE,,,,,,"Councillor A. R. McNabb, Mayor of the City 1947-48.",,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Footscray,Yes,PNC 1331,,,POINT (144.8867939 -37.7975186)
44,VIC,MILDURA RURAL CITY,121303,A S KENYON LIBRARY,REGISTERED,LIBR,LIBRARY,142.1866734,-34.3085977,120777,,,FALSE,,,2015-04-02,"G13, Page 723",,"Alfred Stephen Kenyon (1867-1943) was born at Homebush, near Avoca on 7 December 1867. He was an engineer, ethnologist, numismatist, historian and a writer. He was educated at St Stephen's Grammar School in Richmond and later at Ormond College and the University of Melbourne. in 1887 he entered the Public Works Department and joined the Victorian Water Supply Department the following year. Kenyon was appointed Engineer in Charge of Town Water Supplies in 1901 before becoming Engineer for Agriculture with the Department of Agriculture in 1906. 1911 saw him transfer to the State Rivers and Water Supply Commission where he was Engineer in Charge of Water Supply to the North West Mallee. His first major literary work, The Story of the Mallee, was published in 1915 and in 1918 he was asked to report on land settlement for the placement of returned soldiers. Part of the report recommended the development of Red Cliffs and he was placed in charge of developing the district. Circa 1928 he evolved what he termed the 'Ironclad' Catchment to be made of flat galvanized iron sheets laid on sloping grounds to discharge water from rainfall into watertight covered storages. Following a stint as Acting Commissioner, in 1932 he was appointed Commissioner of the State Rivers and Water Supply Commission. He was a member of many scientific and professional societies including The Institution of Engineers, Australia, the Australasian Institute of Mining and Metallurgy, the Historical Society of Victoria, the Field Naturalists' Club, the Royal Society of Victoria, the Anthropological Society of Victoria, the Australian and New Zealand Association for the Advancement of Science, and the Society of Genealogists, Australia. He was also a member of a number of scientific societies overseas.",,,,,,,Council,,,,,,,,43,,,,,,,,,,,,,,,,,,,Mildura Rural City,Yes,Ordinary Council Meeting,,,POINT (142.1866734 -34.3085977)
45,VIC,HUME CITY,115681,A STEP AHEAD EARLY LEARNING CENTRE,RECORDED,EAED,EARLY EDUCATION,144.715661,-37.561984,115436,,,FALSE,,,,Sourced from Vicmap Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.715661 -37.561984)
46,VIC,HOBSONS BAY CITY,121092,A W BOND RESERVE,REGISTERED,PARK,PARK,144.8451876,-37.8276035,120569,,,FALSE,,,,Sourced from Vicmap Oct 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.8451876 -37.8276035)
47,VIC,QUEENSCLIFFE BOROUGH,22,A W HODGETTS RESERVE,REGISTERED,PARK,PARK,144.66376,-38.2651257,17543,Man,,FALSE,,,,,,"'It is proposed to honour Albert William Hodgetts (born 1911) who was involved in the public life of the Borough for many years.  The proposal has received support from a number of people, including Members of Parliament.'",,,,,,,Manuscript,Place Names Committee Files,Submission,8,8,1980,,,1,,,,,,,PNC file number 785,,,,,,,,,,,,,,,,,POINT (144.66376 -38.2651257)
48,VIC,HOBSONS BAY CITY,23,A W KNIGHT RESERVE,REGISTERED,PARK,PARK,144.7861188,-37.8801604,18895,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.7861188 -37.8801604)
49,VIC,HOBSONS BAY CITY,121093,A W LANGSHAW RESERVE,REGISTERED,PARK,PARK,144.8515364,-37.8361248,120570,,,FALSE,,,,Sourced from Vicmap Oct 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.8515364 -37.8361248)
50,VIC,MORELAND CITY,24,A W SANGER RESERVE,REGISTERED,PARK,PARK,144.9554226,-37.723459,25202,Man,,FALSE,,,,,,"'It is named after Arthur William Sanger, J.P., who was a Councillor from 1961 until his death on 18/7/69.  He was Mayor in 1964/65.  He was an active Councillor and supported every worth-while project.'",,,,,,,Manuscript,Place Names Committee Files,Submission,21,12,1976,,,1,,,,,,,PNC file number 505,,,,,,,,,,,,,,,,,POINT (144.9554226 -37.723459)
51,VIC,MANSFIELD SHIRE,25,A1 MINE SETTLEMENT,REGISTERED,NBHD,NEIGHBOURHOOD,146.20126,-37.499848,9127,No Gender,,FALSE,,,,,,"Mansfield Woods Point Road. A1 refers to the high quality of gold produced or expected from the mine (1881 - 1992). A nearby loop in Raspberry Creek (1), known as Castle Point, was proposed as a name for the settlement, but was apparently not adopted. The settlement dates from a gold strike, the Castle Reef, in 1862.",,,,,,,Book,"Sinnott, Nigel","Place-Names of the Alexandra, Lake Eildon and Big River Area of Victoria",,,,Friends of the Alexandra Library,Alexandra,,,,,,,,,,,,,,,,,,,,,,,,,POINT (146.20126 -37.499848)
52,VIC,MELBOURNE CITY,129710,AAMI Park,RECORDED,SPCO,SPORTS COMPLEX,144.9836528,-37.8249778,128703,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.9836528 -37.8249778)
53,VIC,BANYULE CITY,115682,ABACUS CHILD CARE CENTRE,RECORDED,CHCA,CHILD CARE,145.09441,-37.70325,115437,,,FALSE,,,,Sourced from Vicmap Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.09441 -37.70325)
54,VIC,MOYNE SHIRE,26,ABBEY HILLS FIRE STATION,REGISTERED,FIST,FIRE STATION,142.3036173,-38.0296799,10,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.3036173 -38.0296799)
55,VIC,YARRA RANGES SHIRE,27,ABBEY SPUR,REGISTERED,RIDG,RIDGE,145.709429,-37.7975765,9128,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.709429 -37.7975765)
56,VIC,ALPINE SHIRE,100117,ABBEYARD,REGISTERED,LOCB,LOCALITY,146.7524078,-37.025339,100103,,,FALSE,,,1999-01-21,"G3, p.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (146.7524078 -37.025339)
57,VIC,STRATHBOGIE SHIRE,29,ABBINGA RESERVOIR,REGISTERED,RESE,RESERVOIR,145.6170854,-36.7997155,10614,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.6170854 -36.7997155)
58,VIC,TOWONG SHIRE,30,ABBOTS CREEK,REGISTERED,WACO,WATERCOURSE,147.1623416,-36.4438398,9130,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (147.1623416 -36.4438398)
59,VIC,YARRA CITY,31,ABBOTSFORD,REGISTERED,POST,POST OFFICE,144.9929226,-37.803459,9131,No Gender,,FALSE,,,,,,"Abbotsford (Scottish Borders - the residence of Sir Walter Scott). While there is also an Abbotsford in West Sussex, England, the name of this suburb seems to have a definite link with Scotland. According to one source (Barnes, 1964), an American admirer of Sir Walter Scott by the name of Moss settled here in 1859 and named his home after Sir Walter's residence. A second source (Kennedy & Kennedy, 1989) attributes the name to an estate owned by John Orr in the neighbouring suburb of Kew.",,,,,,,Website,Ian Kendall,,,1,2011,,,,,,,,,,,Ian Kendall ,"Scottish Place Names - Melbourne, Australia ",Rampant Scotland,http://www.rampantscotland.com/placenames/placename_melbourne.htm,,,,,,,,,,,,,POINT (144.9929226 -37.803459)
60,VIC,YARRA CITY,31,ABBOTSFORD,REGISTERED,POST,POST OFFICE,144.9929226,-37.803459,9131,No Gender,,FALSE,,,,,,"Original estate named by John Orr after the Tweed River ford used by the Abbot of Melrose Abbey, Scotland.  [An alternative story is that Abbotsford was named after George Abbot who owned a ford over the Yarra River.]",,,,,,,Book,"Blake, Les",Place Names of Victoria,,,1977,Rigby Ltd,Melbourne,22,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.9929226 -37.803459)
61,VIC,YARRA CITY,100118,ABBOTSFORD,REGISTERED,LOCB,LOCALITY,144.9987114,-37.802505,100104,No Gender,,FALSE,,,1998-05-21,"G20, p.1139",,From an estate of that name.,,,,,,,Book,John George Saxton,Victoria Place-Names And Their Origin,,,1907,Saxton and Buckie,Clifton Hill,-,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.9987114 -37.802505)
