WKT,id,NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,STATUS
POINT (146.73745 -43.61771),162481,TAS_4114P,4114P,Blackhole,BAY,WATERBODY,HYDROLOGY,-43.61771,146.73745,TAS,2024-07-07,gazetted
POINT (147.85823 -42.86048),162486,TAS_5369N,5369N,Blackman Bay,BAY,WATERBODY,HYDROLOGY,-42.86048,147.85823,TAS,2024-07-07,gazetted
POINT (147.32725 -43.00413),162487,TAS_850P,850P,Blackmans Bay,BAY,WATERBODY,HYDROLOGY,-43.00413,147.32725,TAS,2024-07-07,gazetted
POINT (148.33445 -42.10344),162488,TAS_458W,458W,Bluestone Bay,BAY,WATERBODY,HYDROLOGY,-42.10344,148.33445,TAS,2024-07-07,gazetted
POINT (147.88245 -39.75638),162489,TAS_17026K,17026K,Blyth Bay,BAY,WATERBODY,HYDROLOGY,-39.75638,147.88245,TAS,2024-07-07,gazetted
POINT (147.77955 -39.84976),162490,TAS_17027M,17027M,Boat Harbour,BAY,WATERBODY,HYDROLOGY,-39.84976,147.77955,TAS,2024-07-07,gazetted
POINT (147.79772 -42.00793),162491,TAS_21927X,21927X,Boathole,BAY,WATERBODY,HYDROLOGY,-42.00793,147.79772,TAS,2024-07-07,gazetted
POINT (147.30054 -43.51421),162492,TAS_10357X,10357X,Bob Halls Parlour,BAY,WATERBODY,HYDROLOGY,-43.51421,147.30054,TAS,2024-07-07,gazetted
POINT (145.55157 -41.72079),162493,TAS_22600L,22600L,Boco Inlet,BAY,WATERBODY,HYDROLOGY,-41.72079,145.55157,TAS,2024-07-07,gazetted
POINT (145.07264 -40.81238),162494,TAS_12466X,12466X,Bolduans Bay,BAY,WATERBODY,HYDROLOGY,-40.81238,145.07264,TAS,2024-07-07,gazetted
POINT (145.9164 -43.25656),162496,TAS_5689C,5689C,Bond Bay,BAY,WATERBODY,HYDROLOGY,-43.25656,145.9164,TAS,2024-07-07,gazetted
POINT (145.22324 -42.2252),162497,TAS_16005E,16005E,Bonnet Bay,BAY,WATERBODY,HYDROLOGY,-42.2252,145.22324,TAS,2024-07-07,gazetted
POINT (146.14541 -42.91404),162498,TAS_13278G,13278G,Bonnet Bay,BAY,WATERBODY,HYDROLOGY,-42.91404,146.14541,TAS,2024-07-07,gazetted
POINT (147.88448 -40.86821),162499,TAS_7558N,7558N,Boobyalla Inlet,BAY,WATERBODY,HYDROLOGY,-40.86821,147.88448,TAS,2024-07-07,gazetted
POINT (147.83297 -42.87061),162500,TAS_12013D,12013D,Boomer Bay,BAY,WATERBODY,HYDROLOGY,-42.87061,147.83297,TAS,2024-07-07,gazetted
POINT (148.02632 -42.64535),162501,TAS_2684H,2684H,Booming Bay,BAY,WATERBODY,HYDROLOGY,-42.64535,148.02632,TAS,2024-07-07,gazetted
POINT (147.94635 -42.69211),162502,TAS_12014F,12014F,Boot Bay,BAY,WATERBODY,HYDROLOGY,-42.69211,147.94635,TAS,2024-07-07,gazetted
POINT (144.82052 -40.67329),162503,TAS_16905P,16905P,Boullanger Bay,BAY,WATERBODY,HYDROLOGY,-40.67329,144.82052,TAS,2024-07-07,gazetted
POINT (146.69178 -41.92541),162504,TAS_1336Q,1336Q,Boundary Bay,BAY,WATERBODY,HYDROLOGY,-41.92541,146.69178,TAS,2024-07-07,gazetted
POINT (147.84928 -43.00821),162505,TAS_12191W,12191W,Boxalls Bay,BAY,WATERBODY,HYDROLOGY,-43.00821,147.84928,TAS,2024-07-07,gazetted
POINT (146.24923 -42.64513),162506,TAS_15350B,15350B,Boyes Basin,BAY,WATERBODY,HYDROLOGY,-42.64513,146.24923,TAS,2024-07-07,gazetted
POINT (145.99958 -43.32581),162507,TAS_3639P,3639P,Bramble Cove,BAY,WATERBODY,HYDROLOGY,-43.32581,145.99958,TAS,2024-07-07,gazetted
